abastecimientoFrecuenteEcopais;gastoCombustibleElectricidadEcopais;abastecimientoFrecuenteElectricidad;gastoCombustibleElectricidadElectricidad;abastecimientoFrecuenteGas;gastoFrecuenteGas;abastecimientoFrecuenteSuper;gastoCombustibleElectricidadSuper;abastecimientoFrecuenteExtra;gastoCombustibleElectricidadExtra;abastecimientoFrecuenteDiesel;gastoCombustibleElectricidadDiesel;id_vivienda;id_hogar;ciudad
0;0;0;0;0;0;0;0;0;0;0;0;101500051010310302;1015000510103103102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500051010310402;1015000510103104102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500051010310602;1015000510103106102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500051010310702;1015000510103107102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500051010310902;1015000510103109102;10150
1;20;2;0;2;0;2;0;2;0;2;0;101500051010311002;1015000510103110102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500051030250101;1015000510302501101;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500051030250201;1015000510302502101;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500051030250301;1015000510302503101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500051030250401;1015000510302504101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500051030250501;1015000510302505101;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500051030250601;1015000510302506101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500051030250701;1015000510302507101;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500052030410102;1015000520304101102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500052030410302;1015000520304103102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500052030410402;1015000520304104102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500052030410502;1015000520304105102;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500052030410602;1015000520304106102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500052030410902;1015000520304109102;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500052030411002;1015000520304110102;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500054010410102;1015000540104101102;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500054010410402;1015000540104104102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500054010410502;1015000540104105102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500054010410602;1015000540104106102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500054010410702;1015000540104107102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500054010410802;1015000540104108102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500054010410902;1015000540104109102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500056010270103;1015000560102701103;10150
1;15;2;0;2;0;2;0;2;0;2;0;101500056010270203;1015000560102702103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500056010270303;1015000560102703103;10150
